selection_order,candidate_id,campaign_name,filter_current_tariff,filter_arpu_segment,filter_data_segment,filter_call_segment,target_tariff,channel,audience_size,modeled_contacts,modeled_arpu,cost_per_contact,campaign_cost,channel_multiplier,prior_available,sample_size,posterior_mean_lift,posterior_std_lift,prior_gross_value_proxy,prior_net_value_proxy,uncertainty_value_proxy,lower_net_value_proxy,upper_net_value_proxy,priority_score,selection_reason
1,tariff_8__LOW__tariff_9__call,tariff_8_LOW_to_tariff_9_call,tariff_8,LOW,,,tariff_9,call,457,457,1312258.16475608,160.0,73120.0,1.2,True,26.0,2.17436699,0.24760049,3423997.00296431,3350877.00296431,389898.91752013,2960978.08544418,3740775.92048444,3428856.78646834,coverage_arpu
2,tariff_13__MID__tariff_21__digital_ads,tariff_13_MID_to_tariff_21_digital_ads,tariff_13,MID,,,tariff_21,digital_ads,1022,1022,5000571.23814045,22.0,22484.0,0.85,True,2.0,0.91071907,0.00831813,3870998.24934782,3848514.24934782,35356.09138815,3813158.15795967,3883870.34073596,3855585.46762544,coverage_arpu
3,tariff_11__HIGH__tariff_12__digital_ads,tariff_11_HIGH_to_tariff_12_digital_ads,tariff_11,HIGH,,,tariff_12,digital_ads,1633,1633,14175708.00287027,22.0,35926.0,0.85,True,107.0,0.06207846,0.04902554,748005.20389368,712079.20389368,590725.97876458,121353.2251291,1302805.18265826,830224.3996466,coverage_arpu
4,tariff_4__MID__tariff_9__push,tariff_4_MID_to_tariff_9_push,tariff_4,MID,,,tariff_9,push,1227,1227,5840537.24410405,0.0,0.0,0.5,True,11.0,0.65790198,0.27181729,1921250.5085799,1921250.5085799,793779.50291822,1127471.00566168,2715030.01149812,2080006.40916354,coverage_channel
5,tariff_8__MID__tariff_10__sms,tariff_8_MID_to_tariff_10_sms,tariff_8,MID,,,tariff_10,sms,1720,1720,8024489.89481789,4.0,6880.0,0.65,True,182.0,0.40250922,0.08488691,2099455.25949967,2092575.25949967,442763.19847325,1649812.06102641,2535338.45797292,2181127.89919432,coverage_channel
6,tariff_4__MID__tariff_21__digital_ads,tariff_4_MID_to_tariff_21_digital_ads,tariff_4,MID,,,tariff_21,digital_ads,1227,1227,5840537.24410405,22.0,26994.0,0.85,True,2.0,0.49791389,0.24833,2471871.92606647,2444877.92606647,1232823.52175411,1212054.40431236,3677701.44782058,2691442.63041729,coverage_channel
7,tariff_13__LOW__tariff_10__call,tariff_13_LOW_to_tariff_10_call,tariff_13,LOW,,,tariff_10,call,251,251,756421.08339605,160.0,40160.0,1.2,True,2.0,2.99999999,3.162e-05,2723115.89114874,2682955.89114874,28.70164159,2682927.18950715,2682984.59279033,2682961.63147706,coverage_channel
8,tariff_14__LOW__tariff_1__call,tariff_14_LOW_to_tariff_1_call,tariff_14,LOW,,,tariff_1,call,231,231,721988.30246134,160.0,36960.0,1.2,True,2.0,2.99999999,3.162e-05,2599157.88019697,2562197.88019697,27.39512415,2562170.48507282,2562225.27532112,2562203.3592218,expected_value
9,tariff_13__MID__tariff_10__digital_ads,tariff_13_MID_to_tariff_10_digital_ads,tariff_13,MID,,,tariff_10,digital_ads,1022,1022,5000571.23814045,22.0,22484.0,0.85,True,28.0,0.48023631,0.17335273,2041237.4974022,2018753.4974022,736833.27433746,1281920.22306474,2755586.77173965,2166120.15226969,expected_value
10,tariff_4__LOW__tariff_9__call,tariff_4_LOW_to_tariff_9_call,tariff_4,LOW,,,tariff_9,call,299,299,857563.17902667,160.0,47840.0,1.2,True,17.0,1.96549636,0.29179872,2022644.76821634,1974804.76821634,300283.00555094,1674521.7626654,2275087.77376727,2034861.36932652,expected_value
11,tariff_4__MID__tariff_8__digital_ads,tariff_4_MID_to_tariff_8_digital_ads,tariff_4,MID,,,tariff_8,digital_ads,1227,1227,5840537.24410405,22.0,26994.0,0.85,True,408.0,0.39275113,0.04562863,1949795.96206461,1922801.96206461,226521.35597558,1696280.60608903,2149323.31804019,1968106.23325973,expected_value
12,tariff_13__MID__tariff_8__digital_ads,tariff_13_MID_to_tariff_8_digital_ads,tariff_13,MID,,,tariff_8,digital_ads,1022,1022,5000571.23814045,22.0,22484.0,0.85,True,234.0,0.45423174,0.06278531,1930705.44832032,1908221.44832032,266868.05305917,1641353.39526114,2175089.50137949,1961595.05893215,expected_value
13,tariff_8__LOW__tariff_13__call,tariff_8_LOW_to_tariff_13_call,tariff_8,LOW,,,tariff_13,call,457,457,1312258.16475608,160.0,73120.0,1.2,True,15.0,1.19402169,0.3422683,1880237.65391802,1807117.65391802,538973.24545462,1268144.4084634,2346090.89937264,1914912.30300894,expected_value
14,tariff_14__MID__tariff_9__call,tariff_14_MID_to_tariff_9_call,tariff_14,MID,,,tariff_9,call,755,625,3013508.04580725,160.0,100000.0,1.2,True,7.0,0.522904,0.30869757,1890930.49342175,1790930.49342175,1116315.13309938,674615.36032238,2907245.62652113,2014193.52004163,expected_value
15,tariff_8__MID__tariff_11__digital_ads,tariff_8_MID_to_tariff_11_digital_ads,tariff_8,MID,,,tariff_11,digital_ads,1720,1720,8024489.89481789,22.0,37840.0,0.85,True,99.0,0.24449552,0.11538154,1667659.05513301,1629819.05513301,786996.30151175,842822.75362126,2416815.35664475,1787218.31543536,expected_value
16,tariff_11__LOW__tariff_21__call,tariff_11_LOW_to_tariff_21_call,tariff_11,LOW,,,tariff_21,call,387,387,1067637.79615389,160.0,61920.0,1.2,True,1.0,1.22903846,0.5636111,1574601.49538732,1512681.49538732,722079.01523024,790602.48015708,2234760.51061757,1657097.29843337,expected_value
17,tariff_12__LOW__tariff_8__call,tariff_12_LOW_to_tariff_8_call,tariff_12,LOW,,,tariff_8,call,363,363,1017502.05435121,160.0,58080.0,1.2,True,6.0,1.25678266,0.47212055,1534534.72610757,1476454.72610757,576460.35543171,899994.37067586,2052915.08153927,1591746.79719391,expected_value
